NREL's S827 Airfoil
   x/c        y/c
1.000000   0.000000
0.995865   0.000688
0.983991   0.003462
0.965623   0.008883
0.942076   0.016761
0.914301   0.026439
0.882774   0.037198
0.847739   0.048750
0.809883   0.060923
0.769919   0.073258
0.728467   0.085200
0.686063   0.096134
0.643172   0.105349
0.599873   0.111666
0.554955   0.115129
0.508787   0.116559
0.461905   0.116215
0.414850   0.114263
0.368130   0.110840
0.322276   0.106079
0.277778   0.100112
0.235151   0.093080
0.194854   0.085118
0.157351   0.076379
0.123048   0.067010
0.092339   0.057184
0.065565   0.047070
0.043030   0.036866
0.025012   0.026767
0.011673   0.017028
0.003275   0.008024
0.000399   0.002378
0.000036   0.000634
0.000013   0.000352
0.000003  -0.000165
0.000095  -0.000897
0.000363  -0.001597
0.000778  -0.002319
0.001965  -0.003820
0.003899  -0.005651
0.014437  -0.012259
0.030681  -0.019044
0.052502  -0.025920
0.079539  -0.032959
0.111405  -0.040201
0.147601  -0.047819
0.187347  -0.055799
0.229976  -0.064258
0.274275  -0.072950
0.319371  -0.081817
0.363258  -0.089640
0.405999  -0.094098
0.449111  -0.094786
0.492458  -0.091610
0.537389  -0.084728
0.583845  -0.075473
0.631390  -0.064654
0.679501  -0.053010
0.727544  -0.041261
0.774753  -0.030101
0.820228  -0.020155
0.862940  -0.011936
0.901760  -0.005792
0.935492  -0.001822
0.963007   0.000174
0.983348   0.000661
0.995812   0.000321
1.000000   0.000000
