NREL's S811 Airfoil
   x/c       y/c
1.00000   0.00000
0.99619   0.00074
0.98519   0.00323
0.96793   0.00761
0.94535   0.01352
0.91804   0.02028
0.88610   0.02727
0.84950   0.03440
0.80858   0.04188
0.76398   0.04975
0.71636   0.05796
0.66646   0.06641
0.61500   0.07493
0.56276   0.08335
0.51049   0.09140
0.45894   0.09881
0.40887   0.10523
0.36098   0.11025
0.31597   0.11314
0.27382   0.11289
0.23368   0.10934
0.19534   0.10331
0.15926   0.09538
0.12588   0.08587
0.09559   0.07507
0.06876   0.06328
0.04575   0.05078
0.02689   0.03785
0.01252   0.02483
0.00312   0.01213
0.00000   0.00000
0.00000  -0.00017
0.00330  -0.01344
0.01158  -0.02841
0.02410  -0.04435
0.04047  -0.06074
0.06034  -0.07716
0.08330  -0.09318
0.10892  -0.10833
0.13681  -0.12211
0.16655  -0.13392
0.19784  -0.14311
0.23045  -0.14893
0.26460  -0.15049
0.30087  -0.14743
0.33981  -0.13961
0.38235  -0.12742
0.42897  -0.11218
0.47922  -0.09522
0.53243  -0.07757
0.58775  -0.06021
0.64413  -0.04401
0.70040  -0.02967
0.75525  -0.01772
0.80734  -0.00847
0.85534  -0.00200
0.89799   0.00184
0.93420   0.00341
0.96306   0.00321
0.98380   0.00192
0.99602   0.00056
1.00000   0.00000
