TP66-S tip
1.00000000 0.00007000
0.99578000 0.00056000
0.98809000 0.00152000
0.98009000 0.00256000
0.97203000 0.00358000
0.96394000 0.00457000
0.95585000 0.00554000
0.94774000 0.00650000
0.93963000 0.00745000
0.93151000 0.00839000
0.92339000 0.00932000
0.91527000 0.01025000
0.90714000 0.01118000
0.89902000 0.01210000
0.89090000 0.01302000
0.88277000 0.01392000
0.87464000 0.01484000
0.86652000 0.01574000
0.85839000 0.01665000
0.85027000 0.01755000
0.84214000 0.01845000
0.83401000 0.01934000
0.82588000 0.02023000
0.81776000 0.02112000
0.80963000 0.02200000
0.80150000 0.02286000
0.79338000 0.02373000
0.78525000 0.02460000
0.77712000 0.02546000
0.76899000 0.02632000
0.76086000 0.02717000
0.75273000 0.02801000
0.74460000 0.02885000
0.73647000 0.02969000
0.72833000 0.03052000
0.72021000 0.03133000
0.71207000 0.03214000
0.70394000 0.03295000
0.69581000 0.03375000
0.68768000 0.03454000
0.67954000 0.03533000
0.67141000 0.03611000
0.66327000 0.03688000
0.65514000 0.03764000
0.64701000 0.03838000
0.63887000 0.03913000
0.63074000 0.03986000
0.62260000 0.04058000
0.61447000 0.04129000
0.60634000 0.04199000
0.59820000 0.04267000
0.59007000 0.04334000
0.58193000 0.04399000
0.57380000 0.04462000
0.56566000 0.04524000
0.55752000 0.04584000
0.54939000 0.04643000
0.54125000 0.04700000
0.53310000 0.04755000
0.52496000 0.04809000
0.51682000 0.04861000
0.50867000 0.04911000
0.50053000 0.04960000
0.49238000 0.05008000
0.48423000 0.05054000
0.47608000 0.05098000
0.46794000 0.05141000
0.45979000 0.05181000
0.45164000 0.05220000
0.44349000 0.05257000
0.43534000 0.05293000
0.42719000 0.05327000
0.41904000 0.05358000
0.41089000 0.05388000
0.40274000 0.05416000
0.39459000 0.05441000
0.38644000 0.05465000
0.37829000 0.05486000
0.37014000 0.05504000
0.36200000 0.05521000
0.35385000 0.05534000
0.34570000 0.05545000
0.33756000 0.05553000
0.32941000 0.05559000
0.32127000 0.05562000
0.31312000 0.05562000
0.30498000 0.05559000
0.29684000 0.05553000
0.28870000 0.05544000
0.28056000 0.05532000
0.27242000 0.05515000
0.26429000 0.05495000
0.25616000 0.05473000
0.24803000 0.05445000
0.23990000 0.05414000
0.23178000 0.05379000
0.22366000 0.05339000
0.21555000 0.05296000
0.20744000 0.05247000
0.19933000 0.05193000
0.19124000 0.05135000
0.18314000 0.05070000
0.17506000 0.05000000
0.16699000 0.04925000
0.15892000 0.04842000
0.15087000 0.04754000
0.14283000 0.04658000
0.13480000 0.04555000
0.12678000 0.04443000
0.11879000 0.04324000
0.11082000 0.04195000
0.10287000 0.04057000
0.09494000 0.03909000
0.08706000 0.03750000
0.07921000 0.03579000
0.07141000 0.03395000
0.06366000 0.03197000
0.05598000 0.02984000
0.04838000 0.02755000
0.04088000 0.02509000
0.03354000 0.02244000
0.02643000 0.01957000
0.01962000 0.01646000
0.01332000 0.01312000
0.00797000 0.00977000
0.00426000 0.00691000
0.00208000 0.00478000
0.00090000 0.00323000
0.00036000 0.00191000
0.00011000 0.00083000
