GA 30A015
1.00000000 0.00158000
0.95000000 0.01008000
0.90000000 0.01810000
0.85000000 0.02566000
0.80000000 0.03279000
0.75000000 0.03950000
0.70000000 0.04580000
0.65000000 0.05166000
0.60000000 0.05704000
0.55000000 0.06191000
0.50000000 0.06618000
0.45000000 0.06976000
0.40000000 0.07254000
0.35000000 0.07436000
0.30000000 0.07502000
0.25000000 0.07427000
0.20000000 0.07172000
0.15000000 0.06681000
0.10000000 0.05853000
0.07500000 0.05250000
0.05000000 0.04443000
0.02500000 0.03268000
0.01250000 0.02367000
0.00750000 0.01856000
0.00500000 0.01527000
0.00250000 0.01090000
0.00000000 0.00000000
0.00000000 0.00000000
0.00250000 -0.01090000
0.00500000 -0.01527000
0.00750000 -0.01856000
0.01250000 -0.02367000
0.02500000 -0.03268000
0.05000000 -0.04443000
0.07500000 -0.05250000
0.10000000 -0.05853000
0.15000000 -0.06681000
0.20000000 -0.07172000
0.25000000 -0.07427000
0.30000000 -0.07502000
0.35000000 -0.07436000
0.40000000 -0.07254000
0.45000000 -0.06976000
0.50000000 -0.06618000
0.55000000 -0.06191000
0.60000000 -0.05704000
0.65000000 -0.05166000
0.70000000 -0.04580000
0.75000000 -0.03950000
0.80000000 -0.03279000
0.85000000 -0.02566000
0.90000000 -0.01810000
0.95000000 -0.01008000
1.00000000 -0.00158000
