NACA 66A-408
1.00017785 -0.00094860
0.99633935 -0.00049516
0.99078179 0.00026773
0.98353146 0.00137709
0.97462006 0.00286261
0.96408424 0.00474545
0.95196494 0.00703709
0.93830681 0.00973844
0.92315725 0.01283669
0.90656819 0.01631618
0.88858650 0.02011344
0.86925902 0.02414200
0.84867139 0.02847714
0.82687539 0.03301068
0.80390758 0.03753253
0.77980916 0.04180317
0.75467797 0.04584782
0.72860832 0.04966123
0.70169514 0.05322693
0.67402987 0.05647719
0.64570205 0.05928085
0.61680842 0.06149642
0.58746372 0.06313828
0.55778553 0.06430206
0.52788685 0.06506797
0.49787694 0.06545480
0.46786452 0.06548147
0.43795771 0.06515964
0.40826403 0.06449573
0.37888977 0.06350829
0.34994015 0.06220664
0.32151859 0.06060690
0.29372650 0.05872549
0.26666342 0.05657496
0.24042621 0.05417066
0.21510855 0.05153326
0.19080077 0.04868540
0.16758977 0.04564930
0.14556028 0.04243789
0.12479199 0.03907433
0.10535841 0.03559466
0.08732729 0.03204068
0.07076370 0.02844314
0.05573100 0.02482155
0.04228877 0.02119713
0.03047922 0.01763993
0.02034192 0.01420897
0.01196365 0.01083538
0.00554993 0.00729396
0.00142136 0.00352934
0.00000000 0.00000000
0.00000000 0.00000000
0.00175339 -0.00329613
0.00659741 -0.00591341
0.01365977 -0.00750678
0.02253373 -0.00847688
0.03308267 -0.00924762
0.04524903 -0.00999495
0.05898980 -0.01070770
0.07425781 -0.01135225
0.09099842 -0.01194418
0.10915251 -0.01249790
0.12865682 -0.01301312
0.14944382 -0.01347599
0.17144138 -0.01387658
0.19457300 -0.01421627
0.21875821 -0.01450463
0.24391312 -0.01474046
0.26995052 -0.01492009
0.29678013 -0.01504052
0.32430892 -0.01510247
0.35244147 -0.01510769
0.38108027 -0.01505255
0.41012602 -0.01493220
0.43947806 -0.01474719
0.46903453 -0.01448773
0.49869295 -0.01415422
0.52835035 -0.01374056
0.55790360 -0.01323289
0.58724967 -0.01261440
0.61628435 -0.01180612
0.64490222 -0.01071389
0.67300060 -0.00932941
0.70048689 -0.00779931
0.72727270 -0.00626219
0.75326939 -0.00479560
0.77838911 -0.00344502
0.80254918 -0.00230773
0.82566978 -0.00151944
0.84766335 -0.00094086
0.86844948 -0.00044026
0.88795515 0.00002081
0.90611520 0.00031833
0.92286527 0.00050204
0.93814663 0.00059171
0.95190591 0.00058315
0.96409470 0.00047302
0.97466988 0.00027115
0.98359399 -0.00000294
0.99083559 -0.00032186
0.99636966 -0.00065068
1.00017785 -0.00094860
