NM20 root
1.00000000 0.00083000
0.99585000 0.00128000
0.98806000 0.00221000
0.98012000 0.00320000
0.97211000 0.00425000
0.96408000 0.00529000
0.95607000 0.00633000
0.94804000 0.00738000
0.94000000 0.00838000
0.93196000 0.00937000
0.92391000 0.01038000
0.91586000 0.01138000
0.90782000 0.01237000
0.89977000 0.01337000
0.89173000 0.01437000
0.88369000 0.01538000
0.87564000 0.01637000
0.86760000 0.01738000
0.85958000 0.01835000
0.85154000 0.01934000
0.84351000 0.02033000
0.83550000 0.02134000
0.82747000 0.02232000
0.81944000 0.02332000
0.81140000 0.02431000
0.80337000 0.02526000
0.79533000 0.02625000
0.78728000 0.02721000
0.77924000 0.02818000
0.77120000 0.02914000
0.76316000 0.03009000
0.75512000 0.03104000
0.74707000 0.03199000
0.73903000 0.03293000
0.73101000 0.03384000
0.72300000 0.03478000
0.71496000 0.03570000
0.70692000 0.03662000
0.69889000 0.03753000
0.69084000 0.03844000
0.68279000 0.03935000
0.67474000 0.04025000
0.66669000 0.04115000
0.65863000 0.04203000
0.65057000 0.04292000
0.64250000 0.04380000
0.63446000 0.04463000
0.62641000 0.04545000
0.61835000 0.04630000
0.61029000 0.04715000
0.60223000 0.04795000
0.59417000 0.04874000
0.58610000 0.04951000
0.57804000 0.05029000
0.56997000 0.05105000
0.56190000 0.05180000
0.55385000 0.05253000
0.54580000 0.05323000
0.53772000 0.05393000
0.52966000 0.05461000
0.52162000 0.05527000
0.51355000 0.05591000
0.50548000 0.05652000
0.49740000 0.05713000
0.48934000 0.05773000
0.48127000 0.05830000
0.47320000 0.05883000
0.46513000 0.05935000
0.45707000 0.05984000
0.44898000 0.06034000
0.44090000 0.06083000
0.43284000 0.06129000
0.42476000 0.06172000
0.41667000 0.06215000
0.40861000 0.06254000
0.40055000 0.06291000
0.39247000 0.06324000
0.38439000 0.06356000
0.37632000 0.06386000
0.36825000 0.06412000
0.36017000 0.06434000
0.35209000 0.06454000
0.34401000 0.06470000
0.33595000 0.06487000
0.32788000 0.06498000
0.31981000 0.06505000
0.31173000 0.06511000
0.30366000 0.06512000
0.29560000 0.06508000
0.28753000 0.06503000
0.27945000 0.06492000
0.27139000 0.06479000
0.26333000 0.06460000
0.25527000 0.06439000
0.24722000 0.06412000
0.23914000 0.06379000
0.23109000 0.06345000
0.22306000 0.06304000
0.21501000 0.06256000
0.20697000 0.06205000
0.19892000 0.06147000
0.19090000 0.06083000
0.18286000 0.06014000
0.17485000 0.05939000
0.16684000 0.05856000
0.15885000 0.05766000
0.15086000 0.05666000
0.14285000 0.05561000
0.13489000 0.05447000
0.12694000 0.05323000
0.11900000 0.05189000
0.11108000 0.05045000
0.10318000 0.04889000
0.09531000 0.04724000
0.08746000 0.04544000
0.07964000 0.04351000
0.07188000 0.04145000
0.06417000 0.03921000
0.05649000 0.03676000
0.04890000 0.03418000
0.04142000 0.03133000
0.03404000 0.02823000
0.02690000 0.02488000
0.02002000 0.02114000
0.01355000 0.01703000
0.00776000 0.01248000
0.00365000 0.00822000
0.00150000 0.00493000
0.00062000 0.00266000
0.00020000 0.00117000
0.00003000 0.00036000
