TP73-60 inch
1.00000000 -0.00018001
0.99599988 0.00017001
0.98883967 0.00086003
0.98086943 0.00168005
0.97255918 0.00254008
0.96421893 0.00339010
0.95588868 0.00423013
0.94751843 0.00507015
0.93913817 0.00591018
0.93076792 0.00674020
0.92239767 0.00756023
0.91402742 0.00838025
0.90563717 0.00921028
0.89725692 0.01003030
0.88886667 0.01085033
0.88048641 0.01167035
0.87210616 0.01248037
0.86372591 0.01330040
0.85535566 0.01412042
0.84697541 0.01494045
0.83859516 0.01576047
0.83021491 0.01658050
0.82183466 0.01739052
0.81346440 0.01821055
0.80508415 0.01903057
0.79670390 0.01984060
0.78832365 0.02065062
0.77995340 0.02146064
0.77156315 0.02226067
0.76318290 0.02307069
0.75480264 0.02387072
0.74643239 0.02467074
0.73807214 0.02547076
0.72970189 0.02627079
0.72133164 0.02706081
0.71295139 0.02785084
0.70457114 0.02864086
0.69619089 0.02943088
0.68781063 0.03021091
0.67945038 0.03099093
0.67110013 0.03176095
0.66273988 0.03252098
0.65437963 0.03329100
0.64599938 0.03405102
0.63761913 0.03480104
0.62924888 0.03555107
0.62087863 0.03629109
0.61251838 0.03703111
0.60413812 0.03776113
0.59576787 0.03848115
0.58739762 0.03920118
0.57901737 0.03990120
0.57064712 0.04060122
0.56226687 0.04129124
0.55389662 0.04197126
0.54552637 0.04264128
0.53715611 0.04329130
0.52879586 0.04394132
0.52042561 0.04456134
0.51205536 0.04518136
0.50368511 0.04578137
0.49531486 0.04637139
0.48693461 0.04694141
0.47856436 0.04750143
0.47019411 0.04805144
0.46182385 0.04858146
0.45345360 0.04910147
0.44507335 0.04960149
0.43671310 0.05008150
0.42834285 0.05055152
0.41996260 0.05100153
0.41160235 0.05144154
0.40323210 0.05185156
0.39486185 0.05224157
0.38648159 0.05262158
0.37812134 0.05298159
0.36975109 0.05332160
0.36138084 0.05364161
0.35302059 0.05394162
0.34466034 0.05421163
0.33631009 0.05446163
0.32795984 0.05467164
0.31959959 0.05486165
0.31124934 0.05502165
0.30288909 0.05516165
0.29453884 0.05527166
0.28620859 0.05534166
0.27785834 0.05538166
