PW75 sm
1.00000000 0.00000000
0.99635000 0.00001000
0.99002000 0.00012000
0.98277000 0.00037000
0.97479000 0.00073000
0.96645000 0.00118000
0.95796000 0.00168000
0.94937000 0.00223000
0.94072000 0.00281000
0.93203000 0.00344000
0.92333000 0.00409000
0.91460000 0.00478000
0.90586000 0.00548000
0.89711000 0.00622000
0.88835000 0.00697000
0.87960000 0.00774000
0.87083000 0.00852000
0.86204000 0.00932000
0.85326000 0.01013000
0.84451000 0.01095000
0.83574000 0.01180000
0.82696000 0.01266000
0.81818000 0.01353000
0.80942000 0.01440000
0.80067000 0.01529000
0.79192000 0.01618000
0.78315000 0.01709000
0.77441000 0.01800000
0.76569000 0.01894000
0.75697000 0.01986000
0.74824000 0.02081000
0.73948000 0.02176000
0.73070000 0.02271000
0.72194000 0.02366000
0.71320000 0.02461000
0.70446000 0.02556000
0.69572000 0.02652000
0.68700000 0.02745000
0.67827000 0.02840000
0.66952000 0.02934000
0.66075000 0.03028000
0.65198000 0.03122000
0.64321000 0.03215000
0.63445000 0.03308000
0.62569000 0.03401000
0.61691000 0.03493000
0.60815000 0.03586000
0.59939000 0.03676000
0.59062000 0.03766000
0.58183000 0.03855000
0.57305000 0.03944000
0.56426000 0.04033000
0.55547000 0.04119000
0.54668000 0.04205000
0.53789000 0.04290000
0.52911000 0.04374000
0.52034000 0.04456000
0.51155000 0.04537000
0.50278000 0.04617000
0.49403000 0.04696000
0.48531000 0.04772000
0.47658000 0.04847000
0.46788000 0.04921000
0.45913000 0.04992000
0.45037000 0.05062000
0.44165000 0.05130000
0.43292000 0.05197000
0.42420000 0.05260000
0.41545000 0.05322000
0.40673000 0.05381000
0.39798000 0.05438000
0.38925000 0.05492000
0.38051000 0.05543000
0.37178000 0.05592000
0.36306000 0.05640000
0.35433000 0.05683000
0.34559000 0.05724000
0.33690000 0.05761000
0.32821000 0.05795000
0.31950000 0.05825000
0.31081000 0.05852000
0.30211000 0.05875000
0.29343000 0.05896000
0.28475000 0.05912000
0.27609000 0.05924000
0.26747000 0.05931000
0.25882000 0.05932000
0.25017000 0.05931000
0.24157000 0.05924000
0.23296000 0.05912000
0.22437000 0.05894000
0.21579000 0.05870000
0.20723000 0.05842000
0.19871000 0.05806000
0.19021000 0.05764000
0.18172000 0.05714000
0.17326000 0.05658000
0.16484000 0.05595000
0.15648000 0.05522000
0.14809000 0.05440000
0.13977000 0.05351000
0.13150000 0.05252000
0.12329000 0.05142000
0.11510000 0.05022000
0.10700000 0.04892000
