PW98-mod sm
0.20943000 -0.02380000
0.21826000 -0.02389000
0.22707000 -0.02395000
0.23591000 -0.02401000
0.24475000 -0.02405000
0.25357000 -0.02408000
0.26241000 -0.02409000
0.27124000 -0.02410000
0.28002000 -0.02411000
0.28875000 -0.02410000
0.29750000 -0.02408000
0.30626000 -0.02404000
0.31508000 -0.02400000
0.32389000 -0.02396000
0.33268000 -0.02390000
0.34150000 -0.02384000
0.35033000 -0.02378000
0.35916000 -0.02370000
0.36801000 -0.02361000
0.37685000 -0.02354000
0.38570000 -0.02344000
0.39456000 -0.02333000
0.40343000 -0.02321000
0.41229000 -0.02310000
0.42113000 -0.02298000
0.42996000 -0.02285000
0.43877000 -0.02272000
0.44756000 -0.02258000
0.45636000 -0.02241000
0.46514000 -0.02226000
0.47393000 -0.02210000
0.48270000 -0.02194000
0.49148000 -0.02176000
0.50029000 -0.02158000
0.50911000 -0.02139000
0.51793000 -0.02119000
0.52675000 -0.02099000
0.53553000 -0.02078000
0.54429000 -0.02057000
0.55300000 -0.02034000
0.56171000 -0.02012000
0.57044000 -0.01989000
0.57920000 -0.01965000
0.58796000 -0.01940000
0.59670000 -0.01915000
0.60540000 -0.01888000
0.61409000 -0.01862000
0.62276000 -0.01835000
0.63146000 -0.01809000
0.64018000 -0.01780000
0.64896000 -0.01751000
0.65777000 -0.01721000
0.66658000 -0.01690000
0.67538000 -0.01658000
0.68413000 -0.01626000
0.69284000 -0.01592000
0.70153000 -0.01559000
0.71023000 -0.01525000
0.71897000 -0.01490000
0.72774000 -0.01456000
0.73651000 -0.01419000
0.74529000 -0.01382000
0.75407000 -0.01344000
0.76284000 -0.01306000
0.77160000 -0.01266000
0.78039000 -0.01225000
0.78920000 -0.01184000
0.79802000 -0.01143000
0.80684000 -0.01101000
0.81568000 -0.01057000
0.82451000 -0.01013000
0.83334000 -0.00969000
0.84217000 -0.00923000
0.85101000 -0.00877000
0.85986000 -0.00829000
0.86871000 -0.00782000
0.87753000 -0.00735000
0.88634000 -0.00686000
0.89517000 -0.00635000
0.90400000 -0.00585000
0.91283000 -0.00535000
0.92166000 -0.00484000
0.93049000 -0.00432000
0.93932000 -0.00378000
0.94817000 -0.00324000
0.95697000 -0.00271000
0.96569000 -0.00217000
0.97429000 -0.00164000
0.98255000 -0.00111000
0.99005000 -0.00063000
0.99644000 -0.00022000
1.00000000 0.00000000
