NM18 root
1.00000000 0.00083000
0.99585000 0.00135000
0.98806000 0.00241000
0.98012000 0.00354000
0.97211000 0.00473000
0.96408000 0.00590000
0.95607000 0.00706000
0.94804000 0.00823000
0.94000000 0.00934000
0.93196000 0.01044000
0.92391000 0.01155000
0.91586000 0.01265000
0.90782000 0.01374000
0.89977000 0.01483000
0.89173000 0.01592000
0.88369000 0.01702000
0.87564000 0.01810000
0.86760000 0.01919000
0.85958000 0.02024000
0.85154000 0.02131000
0.84351000 0.02238000
0.83550000 0.02346000
0.82747000 0.02452000
0.81944000 0.02559000
0.81140000 0.02665000
0.80337000 0.02767000
0.79533000 0.02873000
0.78728000 0.02975000
0.77924000 0.03078000
0.77120000 0.03181000
0.76316000 0.03281000
0.75512000 0.03383000
0.74707000 0.03483000
0.73903000 0.03582000
0.73101000 0.03679000
0.72300000 0.03778000
0.71496000 0.03875000
0.70692000 0.03971000
0.69889000 0.04067000
0.69084000 0.04163000
0.68279000 0.04258000
0.67474000 0.04353000
0.66669000 0.04447000
0.65863000 0.04539000
0.65057000 0.04633000
0.64250000 0.04724000
0.63446000 0.04811000
0.62641000 0.04896000
0.61835000 0.04985000
0.61029000 0.05073000
0.60223000 0.05156000
0.59417000 0.05239000
0.58610000 0.05318000
0.57804000 0.05399000
0.56997000 0.05478000
0.56190000 0.05556000
0.55385000 0.05631000
0.54580000 0.05704000
0.53772000 0.05776000
0.52966000 0.05846000
0.52162000 0.05914000
0.51355000 0.05980000
0.50548000 0.06042000
0.49740000 0.06105000
0.48934000 0.06166000
0.48127000 0.06224000
0.47320000 0.06279000
0.46513000 0.06332000
0.45707000 0.06382000
0.44898000 0.06432000
0.44090000 0.06482000
0.43284000 0.06528000
0.42476000 0.06572000
0.41667000 0.06615000
0.40861000 0.06654000
0.40055000 0.06691000
0.39247000 0.06724000
0.38439000 0.06755000
0.37632000 0.06784000
0.36825000 0.06809000
0.36017000 0.06830000
0.35209000 0.06848000
0.34401000 0.06863000
0.33595000 0.06878000
0.32788000 0.06887000
0.31981000 0.06892000
0.31173000 0.06896000
0.30366000 0.06894000
0.29560000 0.06888000
0.28753000 0.06879000
0.27945000 0.06865000
0.27139000 0.06849000
0.26333000 0.06826000
0.25527000 0.06801000
0.24722000 0.06769000
0.23914000 0.06732000
0.23109000 0.06693000
0.22306000 0.06647000
0.21501000 0.06593000
0.20697000 0.06537000
0.19892000 0.06473000
0.19090000 0.06403000
0.18286000 0.06327000
0.17485000 0.06245000
0.16684000 0.06155000
0.15885000 0.06057000
0.15086000 0.05949000
0.14285000 0.05835000
0.13489000 0.05712000
0.12694000 0.05579000
0.11900000 0.05435000
0.11108000 0.05280000
0.10318000 0.05113000
0.09531000 0.04937000
0.08746000 0.04745000
0.07964000 0.04540000
0.07188000 0.04321000
0.06417000 0.04083000
0.05649000 0.03824000
0.04890000 0.03551000
0.04142000 0.03251000
0.03404000 0.02925000
