NACA 66A-306
1.00006919 -0.00049647
0.99624346 -0.00015528
0.99069897 0.00042168
0.98345906 0.00126288
0.97455262 0.00239073
0.96401378 0.00382101
0.95188143 0.00556122
0.93819886 0.00761033
0.92301342 0.00995838
0.90637703 0.01259130
0.88834165 0.01546371
0.86896006 0.01850472
0.84830966 0.02176902
0.82645233 0.02518401
0.80344088 0.02858602
0.77933323 0.03179361
0.75421990 0.03481645
0.72819332 0.03766017
0.70134643 0.04031368
0.67377050 0.04271736
0.64555791 0.04477334
0.61680689 0.04639058
0.58762571 0.04759367
0.55812388 0.04845272
0.52840882 0.04902118
0.49858646 0.04930921
0.46876272 0.04933145
0.43904313 0.04909587
0.40953280 0.04860660
0.38033581 0.04787769
0.35155519 0.04691579
0.32329235 0.04573256
0.29564682 0.04434002
0.26871613 0.04274745
0.24259528 0.04096616
0.21737629 0.03901126
0.19314791 0.03689981
0.16999560 0.03464773
0.14800185 0.03226511
0.12724479 0.02976834
0.10779718 0.02718384
0.08972663 0.02454254
0.07309706 0.02186782
0.05796916 0.01917490
0.04439961 0.01647816
0.03243364 0.01382629
0.02211132 0.01126580
0.01349305 0.00875570
0.00670752 0.00610720
0.00198610 0.00317278
0.00000000 0.00000000
0.00000000 0.00000000
0.00225905 -0.00286920
0.00748843 -0.00463088
0.01464875 -0.00566983
0.02354025 -0.00632538
0.03408848 -0.00687773
0.04624915 -0.00741845
0.05998003 -0.00793239
0.07523370 -0.00839829
0.09195640 -0.00882820
0.11008968 -0.00923111
0.12957057 -0.00960574
0.15033164 -0.00994176
0.17230092 -0.01023189
0.19540217 -0.01047786
0.21955520 -0.01068596
0.24467632 -0.01085577
0.27067849 -0.01098426
0.29747163 -0.01106933
0.32496290 -0.01111151
0.35305707 -0.01111210
0.38165681 -0.01106855
0.41066304 -0.01097756
0.43997529 -0.01083988
0.46949195 -0.01064786
0.49911076 -0.01040253
0.52872904 -0.01010028
0.55824400 -0.00972999
0.58755317 -0.00928391
0.61655383 -0.00870987
0.64514315 -0.00793941
0.67321987 -0.00695103
0.70068873 -0.00584047
0.72745816 -0.00471046
0.75343821 -0.00363016
0.77854012 -0.00263360
0.80267924 -0.00178953
0.82577409 -0.00119421
0.84774069 -0.00074534
0.86850066 -0.00034723
0.88798163 0.00002347
0.90611763 0.00027423
0.92284503 0.00044157
0.93810550 0.00053950
0.95184599 0.00056220
0.96401854 0.00050666
0.97458046 0.00037849
0.98349464 0.00019077
0.99072985 -0.00003596
0.99626095 -0.00027548
1.00006919 -0.00049647
