GA 30-010
1.00000000 0.00000000
0.95000000 0.00508000
0.90000000 0.01018000
0.85000000 0.01526000
0.80000000 0.02035000
0.75000000 0.02544000
0.70000000 0.03026000
0.65000000 0.03460000
0.60000000 0.03836000
0.55000000 0.04160000
0.50000000 0.04436000
0.45000000 0.04666000
0.40000000 0.04843000
0.35000000 0.04960000
0.30000000 0.05001000
0.25000000 0.04951000
0.20000000 0.04781000
0.15000000 0.04454000
0.10000000 0.03902000
0.07500000 0.03500000
0.05000000 0.02962000
0.02500000 0.02178000
0.01250000 0.01578000
0.00750000 0.01237000
0.00500000 0.01018000
0.00250000 0.00726000
0.00000000 0.00000000
0.00000000 0.00000000
0.00250000 -0.00726000
0.00500000 -0.01018000
0.00750000 -0.01237000
0.01250000 -0.01578000
0.02500000 -0.02178000
0.05000000 -0.02962000
0.07500000 -0.03500000
0.10000000 -0.03902000
0.15000000 -0.04454000
0.20000000 -0.04781000
0.25000000 -0.04951000
0.30000000 -0.05001000
0.35000000 -0.04960000
0.40000000 -0.04843000
0.45000000 -0.04666000
0.50000000 -0.04436000
0.55000000 -0.04160000
0.60000000 -0.03836000
0.65000000 -0.03460000
0.70000000 -0.03026000
0.75000000 -0.02544000
0.80000000 -0.02035000
0.85000000 -0.01526000
0.90000000 -0.01018000
0.95000000 -0.00508000
1.00000000 0.00000000
